title	name	menu_1	menu_2	menu_3	menu_4	menu_5	meaning	description	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE	EXPORT_VirusSeq_Portal	
		Andorra					GAZ:00002948							
		Angola					GAZ:00001095							
		Anguilla					GAZ:00009159							
		Antarctica					GAZ:00000462							
		Antigua and Barbuda					GAZ:00006883							
		Argentina					GAZ:00002928							
		Armenia					GAZ:00004094							
		Aruba					GAZ:00004025							
		Ashmore and Cartier Islands					GAZ:00005901							
		Australia					GAZ:00000463							
		Austria					GAZ:00002942							
		Azerbaijan					GAZ:00004941							
		Bahamas					GAZ:00002733							
		Bahrain					GAZ:00005281							
		Baker Island					GAZ:00007117							
		Bangladesh					GAZ:00003750							
		Barbados					GAZ:00001251							
		Bassas da India					GAZ:00005810							
		Belarus					GAZ:00006886							
		Belgium					GAZ:00002938							
		Belize					GAZ:00002934							
		Benin					GAZ:00000904							
		Bermuda					GAZ:00001264							
		Bhutan					GAZ:00003920							
		Bolivia					GAZ:00002511							
		Borneo					GAZ:00025355							
		Bosnia and Herzegovina					GAZ:00006887							
		Botswana					GAZ:00001097							
		Bouvet Island					GAZ:00001453							
		Brazil					GAZ:00002828							
		British Virgin Islands					GAZ:00003961							
		Brunei					GAZ:00003901							
		Bulgaria					GAZ:00002950							
		Burkina Faso					GAZ:00000905							
		Burundi					GAZ:00001090							
		Cambodia					GAZ:00006888							
		Cameroon					GAZ:00001093							
		Canada					GAZ:00002560							
		Cape Verde					GAZ:00001227							
		Cayman Islands					GAZ:00003986							
		Central African Republic					GAZ:00001089							
		Chad					GAZ:00000586							
		Chile					GAZ:00002825							
		China					GAZ:00002845							
		Christmas Island					GAZ:00005915							
		Clipperton Island					GAZ:00005838							
		Cocos Islands					GAZ:00009721							
		Colombia					GAZ:00002929							
		Comoros					GAZ:00005820							
		Cook Islands					GAZ:00053798							
		Coral Sea Islands					GAZ:00005917							
		Costa Rica					GAZ:00002901							
		Cote d'Ivoire					GAZ:00000906							
		Croatia					GAZ:00002719							
		Cuba					GAZ:00003762							
		Curacao					GAZ:00012582							
		Cyprus					GAZ:00004006							
		Czech Republic					GAZ:00002954							
		Democratic Republic of the Congo					GAZ:00001086							
		Denmark					GAZ:00005852							
		Djibouti					GAZ:00000582							
		Dominica					GAZ:00006890							
		Dominican Republic					GAZ:00003952							
		Ecuador					GAZ:00002912							
		Egypt					GAZ:00003934							
		El Salvador					GAZ:00002935							
		Equatorial Guinea					GAZ:00001091							
		Eritrea					GAZ:00000581							
		Estonia					GAZ:00002959							
		Eswatini					GAZ:00001099							
		Ethiopia					GAZ:00000567							
		Europa Island					GAZ:00005811							
		Falkland Islands (Islas Malvinas)					GAZ:00001412							
		Faroe Islands					GAZ:00059206							
		Fiji					GAZ:00006891							
		Finland					GAZ:00002937							
		France					GAZ:00003940							
		French Guiana					GAZ:00002516							
		French Polynesia					GAZ:00002918							
		French Southern and Antarctic Lands					GAZ:00003753							
		Gabon					GAZ:00001092							
		Gambia					GAZ:00000907							
		Gaza Strip					GAZ:00009571							
		Georgia					GAZ:00004942							
		Germany					GAZ:00002646							
		Ghana					GAZ:00000908							
		Gibraltar					GAZ:00003987							
		Glorioso Islands					GAZ:00005808							
		Greece					GAZ:00002945							
		Greenland					GAZ:00001507							
		Grenada					GAZ:02000573							
		Guadeloupe					GAZ:00067142							
		Guam					GAZ:00003706							
		Guatemala					GAZ:00002936							
		Guernsey					GAZ:00001550							
		Guinea					GAZ:00000909							
		Guinea-Bissau					GAZ:00000910							
		Guyana					GAZ:00002522							
		Haiti					GAZ:00003953							
		Heard Island and McDonald Islands					GAZ:00009718							
		Honduras					GAZ:00002894							
		Hong Kong					GAZ:00003203							
		Howland Island					GAZ:00007120							
		Hungary					GAZ:00002952							
		Iceland					GAZ:00000843							
		India					GAZ:00002839							
		Indonesia					GAZ:00003727							
		Iran					GAZ:00004474							
		Iraq					GAZ:00004483							
		Ireland					GAZ:00002943							
		Isle of Man					GAZ:00052477							
		Israel					GAZ:00002476							
		Italy					GAZ:00002650							
		Jamaica					GAZ:00003781							
		Jan Mayen					GAZ:00005853							
